year,month,dep_time,dep_delay,arr_time,arr_delay,distance,op_unique_carrier_code,origin_city_name_code,dest_city_name_code
2024,3,1254.0,-6.0,1826.0,-18.0,1626.0,4,65,183
2024,4,2042.0,-8.0,2241.0,-13.0,1012.0,12,254,51
2024,11,1044.0,224.0,1447.0,219.0,1195.0,12,219,116
2024,1,1439.0,-6.0,1512.0,-13.0,84.0,13,134,128
2024,6,1216.0,26.0,1325.0,21.0,252.0,11,95,169
2024,11,1210.0,0.0,1453.0,-15.0,946.0,4,33,14
2024,10,1017.0,-6.0,1303.0,-12.0,1086.0,4,67,270
2024,12,2049.0,-5.0,2253.0,-15.0,563.0,14,33,55
2024,8,1035.0,85.0,1215.0,108.0,337.0,5,147,228
2024,7,1430.0,15.0,1708.0,27.0,286.0,11,50,155
2024,2,1318.0,3.0,1526.0,-9.0,402.0,13,50,200
2024,10,1346.0,-2.0,1545.0,-11.0,647.0,11,193,221
2024,5,1412.0,41.0,1607.0,28.0,631.0,1,174,65
2024,11,1945.0,113.0,2216.0,116.0,954.0,6,227,79
2024,10,2335.0,45.0,27.0,29.0,1171.0,1,62,227
2024,3,1006.0,42.0,1213.0,51.0,667.0,9,184,214
2024,5,1454.0,-1.0,1642.0,2.0,969.0,14,266,182
2024,4,1623.0,-4.0,1859.0,-6.0,957.0,4,184,72
2024,3,1235.0,-2.0,1353.0,-3.0,1587.0,4,15,199
2024,6,1248.0,-7.0,1557.0,-20.0,812.0,11,14,17
2024,8,1555.0,-5.0,1718.0,-23.0,411.0,0,266,53
2024,4,830.0,-5.0,1127.0,-18.0,735.0,13,193,32
2024,2,844.0,-1.0,944.0,-11.0,277.0,13,112,106
2024,2,1949.0,-1.0,2301.0,-12.0,1121.0,4,33,191
2024,3,1130.0,-5.0,1316.0,-9.0,484.0,13,156,116
2024,10,1242.0,26.0,1402.0,36.0,358.0,9,216,40
2024,3,1843.0,33.0,2159.0,66.0,951.0,5,267,198
2024,7,1355.0,-10.0,1640.0,-6.0,596.0,5,161,53
2024,3,649.0,-1.0,820.0,-25.0,861.0,13,33,51
2024,3,743.0,-2.0,1006.0,3.0,649.0,11,65,32
2024,7,1900.0,45.0,2301.0,82.0,861.0,12,112,90
2024,9,1816.0,-4.0,2132.0,-13.0,888.0,13,246,183
2024,7,1047.0,22.0,1155.0,9.0,224.0,11,236,245
2024,3,817.0,-6.0,942.0,-20.0,364.0,8,244,65
2024,12,1454.0,49.0,2213.0,28.0,2139.0,4,223,14
2024,11,1904.0,25.0,2138.0,29.0,899.0,1,84,269
2024,9,656.0,16.0,753.0,2.0,259.0,4,43,14
2024,5,1106.0,-4.0,1331.0,-21.0,1010.0,4,254,183
2024,11,1521.0,-9.0,1654.0,-6.0,347.0,11,73,199
2024,3,1625.0,-5.0,1754.0,-12.0,363.0,10,192,55
2024,1,1350.0,-10.0,1513.0,-7.0,719.0,13,266,249
2024,9,1852.0,37.0,2203.0,48.0,704.0,13,50,185
2024,3,1321.0,-4.0,1358.0,-17.0,100.0,13,125,115
2024,10,717.0,-8.0,1004.0,-26.0,1185.0,3,254,33
2024,10,549.0,-11.0,849.0,-18.0,1107.0,2,193,241
2024,8,502.0,-8.0,749.0,-18.0,678.0,1,50,198
2024,9,1325.0,-11.0,1437.0,8.0,160.0,2,59,9
2024,11,755.0,-5.0,1029.0,-19.0,954.0,2,236,154
2024,6,2131.0,61.0,2248.0,58.0,303.0,11,65,235
2024,2,2143.0,43.0,2215.0,25.0,83.0,11,15,59
2024,4,1454.0,-1.0,1520.0,-9.0,316.0,8,52,51
2024,8,1037.0,22.0,1210.0,32.0,356.0,4,15,211
2024,12,1908.0,-11.0,2149.0,-32.0,616.0,9,174,191
2024,8,1655.0,12.0,1814.0,19.0,282.0,8,62,156
2024,5,1444.0,-1.0,1601.0,-14.0,345.0,13,139,213
2024,6,836.0,-4.0,1029.0,-23.0,657.0,12,174,116
2024,11,1005.0,-10.0,1236.0,-12.0,752.0,8,33,53
2024,4,1632.0,-7.0,1901.0,-11.0,488.0,9,175,256
2024,6,907.0,7.0,1038.0,3.0,719.0,12,177,51
2024,7,800.0,0.0,1047.0,-13.0,738.0,13,50,179
2024,10,559.0,28.0,909.0,20.0,806.0,1,174,166
2024,7,1401.0,36.0,1640.0,45.0,972.0,13,50,17
