year,month,dep_time,dep_delay,arr_time,arr_delay,distance,op_unique_carrier_code,origin_city_name_code,dest_city_name_code
2024,7,706.0,34.0,1041.0,16.0,1095.0,11,114,65
2024,5,927.0,8.0,1024.0,-6.0,185.0,10,273,48
2024,3,1845.0,0.0,1955.0,-24.0,200.0,12,33,184
2024,11,1631.0,-4.0,1750.0,10.0,661.0,8,158,29
2024,11,1743.0,37.0,2037.0,33.0,1121.0,1,130,198
2024,12,656.0,-4.0,903.0,-29.0,2161.0,12,52,228
2024,4,1407.0,3.0,1530.0,0.0,370.0,1,193,154
2024,10,822.0,-8.0,1336.0,11.0,1211.0,4,147,226
2024,1,1335.0,158.0,1547.0,151.0,1047.0,8,33,249
2024,5,802.0,-8.0,1104.0,17.0,895.0,6,84,155
2024,9,859.0,-1.0,1024.0,-11.0,441.0,13,112,167
2024,12,704.0,-1.0,1009.0,-5.0,1010.0,4,176,256
2024,4,909.0,-2.0,1030.0,4.0,627.0,11,79,70
2024,6,955.0,-4.0,1056.0,-23.0,184.0,14,176,33
2024,10,1730.0,-10.0,1903.0,-27.0,524.0,10,93,269
2024,11,1104.0,-6.0,1415.0,-20.0,864.0,12,50,123
2024,11,1456.0,57.0,1620.0,44.0,335.0,10,51,48
2024,3,1151.0,-4.0,1328.0,-31.0,647.0,0,132,183
2024,10,1056.0,-3.0,1153.0,-29.0,184.0,14,176,33
2024,2,803.0,-2.0,1041.0,-24.0,634.0,13,160,269
2024,5,2057.0,-3.0,2224.0,-26.0,888.0,13,50,70
2024,6,757.0,-3.0,1155.0,10.0,1475.0,1,225,48
2024,1,1417.0,-10.0,1529.0,-14.0,627.0,5,79,70
2024,10,1541.0,-4.0,1750.0,-19.0,691.0,8,166,65
2024,8,554.0,-6.0,826.0,-11.0,484.0,4,246,14
2024,9,1550.0,-10.0,1804.0,-13.0,271.0,4,189,14
2024,11,1513.0,76.0,1623.0,73.0,192.0,1,184,166
2024,2,1555.0,-4.0,1830.0,2.0,647.0,14,176,135
2024,4,853.0,-4.0,1132.0,-20.0,626.0,11,161,61
2024,1,838.0,-2.0,1143.0,-4.0,1010.0,4,33,123
2024,2,1554.0,269.0,1737.0,249.0,1024.0,12,65,241
2024,4,1252.0,29.0,1537.0,23.0,599.0,5,223,224
2024,9,1951.0,1.0,2144.0,24.0,404.0,4,15,191
2024,6,2046.0,56.0,2316.0,41.0,971.0,13,184,120
2024,3,1349.0,6.0,1938.0,-3.0,1838.0,4,32,14
2024,11,1043.0,-5.0,1209.0,-11.0,419.0,14,52,183
2024,6,658.0,-8.0,929.0,-21.0,987.0,2,236,192
2024,3,707.0,25.0,832.0,33.0,185.0,1,273,48
2024,4,608.0,-1.0,712.0,-7.0,140.0,11,146,65
2024,8,1113.0,198.0,1322.0,212.0,496.0,14,33,200
2024,4,644.0,14.0,911.0,19.0,870.0,6,227,92
2024,11,703.0,3.0,1021.0,-9.0,2404.0,7,216,128
2024,8,722.0,22.0,727.0,12.0,307.0,13,52,51
2024,4,2024.0,132.0,2256.0,106.0,1009.0,5,193,205
2024,7,1228.0,-8.0,1344.0,-14.0,323.0,14,58,269
2024,12,1940.0,-2.0,2239.0,-29.0,1217.0,8,158,254
2024,10,1210.0,150.0,1311.0,141.0,259.0,13,246,71
